Date,Staff,Outlet,Retail POS,Retail POS Cash,Retail POS Card,Retail Cash,Retail Card,F&B POS,F&B POS Cash,F&B POS Card,F&B Cash,F&B Card,Deliveroo,Careem,Keeta,Tips Cash,Tips Card,Total Cash,Total Card,Delivery,Tips,Grand Total,R.Cash Var,R.Card Var,F&B Cash Var,F&B Card Var,Notes
2026-06-01,Grant,Ventum Racing,36406,0,36406,0,1407,1191,81,1110,90,1110,0,0,0,9,0,90,2517,0,9,2598,,-34999,9,0,NS1 deposit in retail
2026-06-02,,Ventum Racing,25439.5,0,25439.5,0,12441.5,561.5,22.4,539.1,22.4,539.1,0,0,0,0,0,22.4,12980.6,0,0,13003,,-12998,0,0,ENVE 6.7 depost
2026-06-03,Grant,Ventum Racing,1055,0,1055,0,980,747,55,573,55,648,119,0,0,0,0,55,1628,119,0,1802,,-75,0,75,F&B cc was used for retail
2026-06-04,Grant,Ventum Racing,954.35,0,954.35,0,454.35,694,44,650,44,650,0,0,0,0,0,44,1104.35,0,0,1148.35,,-500,0,0,Online payment for retail
2026-06-05,Grant,Ventum Racing,1556.3,0,1555.3,0,1555.3,772.2,35,737.2,35,737.2,0,0,0,0,0,35,2292.5,0,0,2327.5,,0,0,0,
2026-06-06,Grant,Ventum Racing,1640,0,1640,0,1640,659,0,606,0,606,53,0,0,0,0,0,2246,53,0,2299,,0,,0,
2026-06-07,Grant,Ventum Racing,5315.1,0,5315.1,0,5315.1,905,46,859,46,859,0,0,0,0,0,46,6174.1,0,0,6220.1,,0,0,0,
2026-06-08,Grant,Ventum Racing,22829,169,22610,169,22610,1229.55,77,1152.55,77,1152.55,0,0,0,0,0,246,23762.55,0,0,24008.55,0,0,0,0,
2026-06-09,,Ventum Racing,730,0,730,0,730,887.4,21,866.4,21,806.4,0,0,0,0,0,21,1536.4,0,0,1557.4,,0,0,-60,Customers card was declined and he wouldn’t pay for it.
2026-06-10,Grant,Ventum Racing,23900.83,0,23900.83,0,401.5,395,0,395,0,455,0,0,0,0,0,0,856.5,0,0,856.5,,-23499.33,,60,BNPL was put through
2026-06-11,Krish,Ventum Racing,22812.2,0,22812.2,0,22812.2,754.9,12,654.9,12,654.9,88,0,0,0,0,12,23467.100000000002,88,0,23567.100000000002,,0,0,0,
2026-06-12,Krish,Ventum Racing,35053.9,0,35053.9,0,1977,1216.05,22,1118.05,25,1118.05,48,0,28,3,0,25,3095.05,76,3,3193.05,,-33076.9,3,0,"AED 33,144.90 for ENEV Wheels paid by BNPL.

AED 68 for Maurten gel."
2026-06-13,Jay,Ventum Racing,8041.35,0,8041.35,0,7434.4,1253.8,0,1175,0,1713.95,0,78.8,0,0,0,0,9148.35,78.8,0,9227.15,,-606.9500000000007,,538.95,"•Retail sale amount 600.95 AED was punch in F&B card machine
.6 AED short need to be check"
2026-06-14,Jay,Ventum Racing,2565,149,2416,149,2416,817,14,803,14,803,0,0,0,0,0,163,3219,0,0,3382,0,0,0,0,
2026-06-15,Rhein,Ventum Racing,2235.15,0,2235.15,0,2235.15,1126,57,1069,57,1069,0,0,0,0,0,57,3304.15,0,0,3361.15,,0,0,0,
2026-06-16,Rhein,Ventum Racing,1300,0,1300,0,1300,930.1,15,890.1,15,890.1,0,25,0,0,0,15,2190.1,25,0,2230.1,,0,0,0,
2026-06-17,Krish,Ventum Racing,2387.95,2037.2,350.75,2045,275.75,741.6,37,672.6,37,747.6,0,32,0,7.8,0,2082,1023.35,32,7.8,3129.5499999999997,7.7999999999999545,-75,0,75,
2026-06-18,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-18,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-18,Krish,Ventum Racing,3873.5,0,3873.5,0,3605.5,1014.9,23.5,869.4,23.5,869.4,122,0,0,0,0,23.5,4474.9,122,0,4620.4,,-268,0,0,AED 268 paid via link
2026-06-19,Jay,Ventum Racing,1903,118,1785,118,1785,596.6,30,566.6,30,577.6,0,0,0,0,11,148,2362.6,0,11,2499.6,0,0,0,11,
2026-06-20,Jay,Ventum Racing,2729,0,2729,0,2729,714,0,714,0,714,0,0,0,0,0,0,3443,0,0,3443,,0,,0,
2026-06-21,Jay,Ventum Racing,3721.6,0,3721.6,0,3721,1367,0,1299,0,1299,0,68,0,0,0,0,5020,68,0,5088,,-0.599999999999909,,0,0.60 was short in retail card .
2026-06-22,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-22,Rhein,Ventum Racing,1037,19,1018,19,718,908.7,52,751.7,52,1051.7,105,0,0,0,0,71,1769.7,105,0,1945.7,0,-300,0,300,Retail short 300 due to cc machine not working
2026-06-23,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-23,Glen,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-23,Rhein,Ventum Racing,17618,0,17618,0,17618,572.1,26,546.1,26,546.1,0,0,0,0,0,26,18164.1,0,0,18190.1,,0,0,0,
2026-06-24,Krish,Ventum Racing,11805.3,0,11805.3,0,11746.3,603.5,22,581.5,27,650.5,0,0,0,5,10,27,12396.8,0,15,12408.8,,-59,5,69,
2026-06-25,Jay,Ventum Racing,1586,0,1586,0,1586,1283.2,70,1213.2,70,1263.2,0,0,0,0,10,70,2849.2,0,10,2909.2,,0,0,50,
2026-06-26,Jay,Ventum Racing,12511.3,0,12511.3,0,12511.3,1280.3,0,1280.3,0,1290.3,0,0,0,0,10,0,13801.599999999999,0,10,13791.599999999999,,0,,10,
2026-06-27,Jay,Ventum Racing,31748.3,0,31748.3,0,31748.3,1053,41,1012,41,1025,0,0,0,0,13,41,32773.3,0,13,32801.3,,0,0,13,
2026-06-28,Jay,Ventum Racing,541,0,541,0,541,1272,0,1200,0,1200,0,72,0,0,0,0,1741,72,0,1813,,0,,0,
2026-06-29,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-06-29,Rhein,Ventum Racing,1536.65,0,1536.65,0,1536.65,1046.8,128.2,780.6,128.2,780.6,138,0,0,0,0,128.2,2317.25,138,0,2583.45,,0,0,0,
2026-06-30,Rhein,Ventum Racing,4881.85,0,4881.85,0,4881.85,854.2,22,832.2,22,835.2,0,0,0,0,3,22,5717.05,0,3,5736.05,,0,0,3,There is 19 AED cash in pos cc machine but no endorsement that has a cash sale
2026-07-01,Jay,Ventum Racing,36697.7,0,36697.7,0,36697.7,1029.6,22,936.6,22,960.6,71,0,0,0,24,22,37658.299999999996,71,24,37727.299999999996,,0,0,24,
2026-07-02,Jay,Ventum Racing,319,0,319,0,319,780.3,0,780.3,0,793.3,0,0,0,0,13,0,1112.3,0,13,1099.3,,0,,13,
2026-07-03,,Ventum Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2026-07-03,Rhein,Ventum Racing,738.5,0,738.5,0,738.5,756,28,728,28,744,0,0,0,0,16,28,1482.5,0,16,1494.5,,0,0,16,
2026-07-04,Jay,Ventum Racing,4683.5,0,4683.5,0,4683.5,1212,40,1100,40,1100,0,72,0,0,0,40,5783.5,72,0,5895.5,,0,0,0,
2026-07-05,Jay,Ventum Racing,12672.6,0,12672.6,0,12672.6,742,32,598,32,598,112,0,0,0,0,32,13270.6,112,0,13414.6,,0,0,0,
2026-07-06,Rhein,Ventum Racing,10388.8,0,10388.8,0,10388.8,728,22,660,22,660,46,0,0,0,0,22,11048.8,46,0,11116.8,,0,0,0,
2026-07-07,Rhein,Ventum Racing,699,699,0,700,0,591.5,0,591.5,0,591.5,0,0,0,0,0,700,591.5,0,0,1291.5,1,,,0,1aed over retail . Tips
2026-07-08,Jay,Ventum Racing,139,0,139,0,139,450,0,450,0,450,0,0,0,0,0,0,589,0,0,589,,0,,0,
2026-07-09,Jay,Ventum Racing,774.6,73.6,701,73.75,701,1895.85,0,1895.85,0,1895.85,0,0,0,0,0,73.75,2596.85,0,0,2670.6,0.15000000000000568,0,,0,
2026-07-10,Jay,Ventum Racing,654,25,629,25,629,912,40,872,50,883,0,0,0,10,11,75,1512,0,21,1566,0,0,10,11,
2026-07-11,Jay,Ventum Racing,3458,0,3458,0,3458,295,0,295,0,295,0,0,0,0,0,0,3753,0,0,3753,,0,,0,
2026-07-12,Jay,Ventum Racing,14589.2,796,13793.2,796,13793.2,1018,81,821,81,838,116,0,0,0,17,877,14631.2,116,17,15607.2,0,0,0,17,
2026-07-13,Rhein,Ventum Racing,575,0,575,0,575,437,62,375,62,375,0,0,0,0,0,62,950,0,0,1012,,0,0,0,
2026-07-14,Jay,Ventum Racing,6516,0,6516,0,6516,563,59,480,60,480,0,0,24,1,0,60,6996,24,1,7079,,0,1,0,
2026-07-15,Rhein,Ventum Racing,1949.23,0,1949.23,0,1949.23,587,6,431,6,431,150,0,0,0,0,6,2380.23,150,0,2536.23,,0,0,0,
